City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,Esperance,-33.8667,121.9,60.8,94,75,9.22,AU,2021-03-08 22:09:39
91,Arraial Do Cabo,-22.9661,-42.0278,77.0,88,75,4.61,BR,2021-03-08 22:09:39
92,Faanui,-16.4833,-151.75,82.8,73,100,22.41,PF,2021-03-08 22:09:39
93,Severo-Kurilsk,50.6789,156.125,19.96,90,94,20.92,RU,2021-03-08 22:09:40
94,Port Alfred,-33.5906,26.891,66.0,78,100,1.01,ZA,2021-03-08 22:09:40
95,Tuktoyaktuk,69.4541,-133.0374,-22.0,76,1,5.75,CA,2021-03-08 22:09:41
96,Aksu,41.1231,80.2644,41.49,60,48,3.42,CN,2021-03-08 22:09:41
97,Krasnoyarskiy,51.965,59.8967,16.86,93,93,20.69,RU,2021-03-08 22:09:41
98,Lorengau,-2.0226,147.2712,80.56,79,100,7.38,PG,2021-03-08 22:09:42
99,Grand Gaube,-20.0064,57.6608,77.0,81,0,3.0,MU,2021-03-08 22:09:42
100,Zhigansk,66.7697,123.3711,-9.08,90,100,7.65,RU,2021-03-08 22:09:42
101,Clyde River,70.4692,-68.5914,-2.2,84,90,2.3,CA,2021-03-08 22:09:44
102,Jobabo,20.9692,-76.2994,75.2,57,75,19.57,CU,2021-03-08 22:09:44
103,Hermanus,-34.4187,19.2345,61.2,62,79,6.38,ZA,2021-03-08 22:09:44
104,Cheney,47.4874,-117.5758,46.99,39,75,14.97,US,2021-03-08 22:09:44
105,Abu Dhabi,24.4667,54.3667,69.8,83,0,2.3,AE,2021-03-08 22:07:37
106,Chapais,49.7834,-74.8492,24.8,50,90,12.66,CA,2021-03-08 22:09:45
107,Dwarka,22.2394,68.9678,74.23,86,0,6.76,IN,2021-03-08 22:09:45
108,Neuquen,-38.9516,-68.0591,82.4,23,0,6.91,AR,2021-03-08 22:09:45
109,Port Blair,11.6667,92.75,79.27,77,0,6.76,IN,2021-03-08 22:09:46
110,Waipawa,-41.4122,175.5153,64.99,63,6,6.91,NZ,2021-03-08 22:09:46
111,Nyrob,60.733,56.7202,1.26,93,99,5.39,RU,2021-03-08 22:09:46
112,Doba,8.65,16.85,80.76,18,0,2.66,TD,2021-03-08 22:09:47
113,Albany,42.6001,-73.9662,37.0,29,60,2.71,US,2021-03-08 22:06:56
114,Guerrero Negro,27.9769,-114.0611,63.91,58,100,17.56,MX,2021-03-08 22:09:47
115,Makakilo City,21.3469,-158.0858,78.8,61,1,12.66,US,2021-03-08 22:09:48
116,Kodiak,57.79,-152.4072,39.2,65,1,5.75,US,2021-03-08 22:09:48
117,Lavrentiya,65.5833,-171.0,13.24,87,98,5.79,RU,2021-03-08 22:09:48
118,Beidao,34.5686,105.8933,41.85,77,53,2.84,CN,2021-03-08 22:09:49
119,East London,-33.0153,27.9116,68.27,67,100,11.12,ZA,2021-03-08 22:09:49
120,Tiksi,71.6872,128.8694,-22.9,85,100,11.77,RU,2021-03-08 22:09:50
121,Prince Rupert,54.3161,-130.3201,46.4,66,1,5.75,CA,2021-03-08 22:08:15
122,Sabang,5.8933,95.3214,81.86,77,5,13.76,ID,2021-03-08 22:09:50
123,Hamilton,39.1834,-84.5333,64.4,27,1,16.11,US,2021-03-08 22:09:11
124,Anadyr,64.75,177.4833,-18.0,76,20,4.47,RU,2021-03-08 22:09:51
125,Buta,2.7858,24.73,70.92,92,71,2.15,CD,2021-03-08 22:09:51
126,Arlit,18.7369,7.3853,82.27,15,97,3.76,NE,2021-03-08 22:09:51
127,Iquitos,-3.7481,-73.2472,86.0,70,40,6.91,PE,2021-03-08 22:09:52
128,Njombe,-9.3333,34.7667,55.36,91,100,3.89,TZ,2021-03-08 22:09:52
129,Karratha,-20.7377,116.8463,78.93,81,6,8.63,AU,2021-03-08 22:09:53
130,Saint George,37.1041,-113.5841,75.99,13,1,10.36,US,2021-03-08 22:06:32
131,Oriximina,-1.7656,-55.8661,80.91,74,100,2.04,BR,2021-03-08 22:07:40
132,Butaritari,3.0707,172.7902,79.97,82,100,10.85,KI,2021-03-08 22:09:54
133,Port Lincoln,-34.7333,135.8667,61.52,80,6,14.0,AU,2021-03-08 22:09:55
134,Guymon,36.6828,-101.4816,73.4,25,1,27.63,US,2021-03-08 22:09:55
135,Chuy,-33.6971,-53.4616,69.42,83,100,7.67,UY,2021-03-08 22:09:55
