City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Pascagoula,US,30.3658,-88.5561,75.2,60,1,5.75,clear sky
282,Council Bluffs,US,41.2619,-95.8608,51.8,35,75,11.5,broken clouds
283,Eureka,US,40.8021,-124.1637,57.99,69,0,3.0,clear sky
284,Mahibadhoo,MV,3.7833,72.9667,81.93,75,98,13.89,overcast clouds
285,Arlit,NE,18.7369,7.3853,78.42,11,90,9.1,overcast clouds
286,Envira,BR,-7.3,-70.2167,73.94,95,47,0.09,scattered clouds
287,Belaya Gora,RU,68.5333,146.4167,-17.84,92,0,3.56,clear sky
288,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.2,64,90,41.43,overcast clouds
289,Boulder City,US,35.9786,-114.8325,50.0,50,20,11.61,few clouds
290,Vyazma,RU,55.2104,34.2951,21.07,93,100,15.9,light snow
291,Abu Kamal,SY,34.4506,40.9171,48.43,30,0,14.99,clear sky
292,Coquimbo,CL,-29.9533,-71.3436,62.6,77,75,8.05,broken clouds
293,Benjamin Constant,BR,-4.3831,-70.0311,80.6,78,20,3.44,few clouds
294,Tawang,IN,27.5833,91.8667,38.59,74,4,3.78,clear sky
295,Borogontsy,RU,62.6683,131.1683,1.78,95,100,6.42,light snow
296,Tsiroanomandidy,MG,-18.7667,46.0333,64.44,94,0,3.09,clear sky
297,Gasa,PS,31.5,34.4667,55.0,100,0,3.51,clear sky
298,Along,IN,28.1667,94.7667,59.95,84,0,1.5,clear sky
299,Aksu,CN,41.1231,80.2644,44.35,39,32,2.3,scattered clouds
300,Lichuan,CN,30.3,108.85,48.88,94,87,0.98,overcast clouds
301,Kroya,ID,-7.6331,109.2461,76.17,87,92,3.51,overcast clouds
302,Coari,BR,-4.085,-63.1414,75.65,93,88,0.4,overcast clouds
303,Miraflores,MX,19.2167,-98.8083,82.4,13,20,4.61,few clouds
304,Cockburn Town,TC,21.4612,-71.1419,76.15,75,15,20.83,few clouds
305,Yumen,CN,40.2833,97.2,43.86,24,62,9.98,broken clouds
306,Klaksvik,FO,62.2266,-6.589,39.2,87,75,11.5,broken clouds
307,Umm Lajj,SA,25.0213,37.2685,70.0,53,0,13.22,clear sky
308,Hobyo,SO,5.3505,48.5268,77.25,82,58,12.75,broken clouds
309,Spring Valley,US,36.108,-115.245,51.01,70,75,6.91,sleet
310,Kyra,RU,49.5776,111.9753,25.54,82,89,2.24,overcast clouds
311,Zabaykalsk,RU,49.6333,117.3167,25.66,82,11,6.53,few clouds
312,Guerrero Negro,MX,27.9769,-114.0611,61.5,48,4,15.32,clear sky
